sample_identifier;collection_id;sample_type_id;sample_status_id;country_code;country_origin_code;referent_id;sampling_date;sample_multiple_value;sample_parent_identifier;container_parent_identifier;md_taxon;md_longueur;md_riviere;md_num_individu;uuid
T94710-MON;1;2;1;FR;FR;1;07/09/1999;;T94710;BOITE;TRF;154;Dranse;IL324;4c50fc97-c84f-5a50-9fdc-cfdfaa51b61d
T94711-MON;1;2;1;FR;FR;1;07/09/1999;;T94711;BOITE;TRF;158;Dranse;IL320;47d80876-d38d-5d79-af59-6305300ec1af
T94712-MON;1;2;1;FR;FR;1;07/09/1999;;T94712;BOITE;TRF;242;Dranse;IL326;21ef8107-394e-5aaa-aa11-dd4b697facb3
T94713-MON;1;2;1;FR;FR;1;07/09/1999;;T94713;BOITE;TRF;171;Dranse;IL327;0952a0da-37be-53e7-8f6f-beb9f8cd78f1
T94714-MON;1;2;1;FR;FR;1;07/09/1999;;T94714;BOITE;TRF;166;Dranse;IL310;8557df4d-9203-57e1-8c0d-6eefa56b1984
T94715-MON;1;2;1;FR;FR;1;07/09/1999;;T94715;BOITE;TRF;175;Dranse;IL311;60131fd3-e9cd-5a9b-9b08-01895c9cec48
T94716-MON;1;2;1;FR;FR;1;07/09/1999;;T94716;BOITE;TRF;164;Dranse;IL312;80858f48-99d9-553b-81d7-a7e15eca3aa4
T94717-MON;1;2;1;FR;FR;1;07/09/1999;;T94717;BOITE;TRF;129;Dranse;IL313;6aa1aff0-43e6-5f65-9f1e-99b44c703969
T94718-MON;1;2;1;FR;FR;1;07/09/1999;;T94718;BOITE;TRF;132;Dranse;IL314;3ca9cef5-424a-505b-a2fe-bb8da033296e
T94719-MON;1;2;1;FR;FR;1;07/09/1999;;T94719;BOITE;TRF;115;Dranse;IL315;54a44187-dfc9-5dca-89bb-94cc62b633bf
T94720-MON;1;2;1;FR;FR;1;07/09/1999;;T94720;BOITE;TRF;156;Dranse;IL449;728fa70d-f71b-5e08-b15c-5394c711440a
T94721-MON;1;2;1;FR;FR;1;07/09/1999;;T94721;BOITE;TRF;294;Dranse;IL294;51a9f904-9f37-56fe-8a4b-f0c59941321f
T94722-MON;1;2;1;FR;FR;1;07/09/1999;;T94722;BOITE;TRF;237;Dranse;IL295;ede69841-8d11-5d0b-9f7f-1f91eb551311
T94723-MON;1;2;1;FR;FR;1;07/09/1999;;T94723;BOITE;TRF;216;Dranse;IL297;c7f10d84-18c5-5642-9282-e1ab151d2367
T94724-MON;1;2;1;FR;FR;1;07/09/1999;;T94724;BOITE;TRF;175;Dranse;IL298;57d1594a-36e6-5619-8b96-45a8d1369813
T94725-MON;1;2;1;FR;FR;1;07/09/1999;;T94725;BOITE;TRF;184;Dranse;IL299;7a3d725e-563a-5988-8f51-08758a0e8c63
T94726-MON;1;2;1;FR;FR;1;07/09/1999;;T94726;BOITE;TRF;165;Dranse;IL300;ad2e6016-f5fc-534e-bb48-ba8abd208051
T94727-MON;1;2;1;FR;FR;1;07/09/1999;;T94727;BOITE;TRF;244;Dranse;IL306;fe12dbc6-421a-5d6d-9d12-0fb9f2c1c883
T94728-MON;1;2;1;FR;FR;1;07/09/1999;;T94728;BOITE;TRF;216;Dranse;IL307;2bdfbb17-d7ce-500e-b244-7c1dff182e5a
T94729-MON;1;2;1;FR;FR;1;07/09/1999;;T94729;BOITE;TRF;295;Dranse;IL304;0062e3d6-318e-5bf9-865c-6a48bbb0a41d
T94730-MON;1;2;1;FR;FR;1;07/09/1999;;T94730;BOITE;TRF;170;Dranse;IL309;5e5dd807-c20b-52c3-b3b9-a3c940abfc5f
T94731-MON;1;2;1;FR;FR;1;07/09/1999;;T94731;BOITE;TRF;120;Dranse;IL410;1e8d5a5c-165a-57fb-9d20-a05fe37b0d72
T94732-MON;1;2;1;FR;FR;1;07/09/1999;;T94732;BOITE;TRF;114;Dranse;IL411;6b04733d-e8ea-5d87-aa1e-cc1743288628
T94733-MON;1;2;1;FR;FR;1;07/09/1999;;T94733;BOITE;TRF;115;Dranse;IL412;e6118e7f-0af2-5b9b-aab5-c06f64536aa8
T94734-MON;1;2;1;FR;FR;1;07/09/1999;;T94734;BOITE;TRF;226;Dranse;IL423;378de1a2-c829-5058-9208-16ddf2b46f8e
T94735-MON;1;2;1;FR;FR;1;07/09/1999;;T94735;BOITE;TRF;134;Dranse;IL400;17451a65-ec07-5346-b113-becc419fa670
T94736-MON;1;2;1;FR;FR;1;07/09/1999;;T94736;BOITE;TRF;114;Dranse;IL402;018ce4d8-8316-5717-815f-a0d0706e67b6
T94737-MON;1;2;1;FR;FR;1;07/09/1999;;T94737;BOITE;TRF;136;Dranse;IL403;07084f3e-1260-5186-8694-4cf348bd7eab
T94738-MON;1;2;1;FR;FR;1;07/09/1999;;T94738;BOITE;TRF;135;Dranse;IL404;4e4178bd-bb8f-506a-a44f-9c473079a80d
